500, 0.016691, 0.016653, 0.005238, 0.005190
1000, 0.030971, 0.030546, 0.006121, 0.006037
5000, 0.111314, 0.110893, 0.022199, 0.022086
10000, 0.200102, 0.199193, 0.044023, 0.043793
15000, 0.286674, 0.285250, 0.066149, 0.065425
20000, 0.369981, 0.367397, 0.087521, 0.087426
25000, 0.458661, 0.456541, 0.109342, 0.108909
30000, 0.547766, 0.545939, 0.133026, 0.132239
35000, 0.631205, 0.629159, 0.155967, 0.155032
40000, 0.714266, 0.711716, 0.176367, 0.175402
50000, 0.885139, 0.882038, 0.219714, 0.218718
60000, 1.059208, 1.056756, 0.266479, 0.265390
70000, 1.234054, 1.230312, 0.309227, 0.307877
80000, 1.407385, 1.403635, 0.355781, 0.354535
90000, 1.569963, 1.566343, 0.403451, 0.401798
100000, 1.748891, 1.744763, 0.446623, 0.444812
120000, 2.091220, 2.086009, 0.537674, 0.535858
140000, 2.433670, 2.428069, 0.621961, 0.620335
160000, 2.786000, 2.778916, 0.714062, 0.711842
180000, 3.129948, 3.122670, 0.799883, 0.797341
200000, 3.495511, 3.475076, 0.892025, 0.889269
250000, 4.319818, 4.310575, 1.110737, 1.107661
300000, 5.313387, 5.277820, 1.345130, 1.338291
400000, 7.027442, 6.993341, 1.790724, 1.783896
500000, 8.641777, 8.622284, 2.223531, 2.218859
