N, tiempoSinDesenrollar, tiempoDesenrollado
16, 0.085200, 0.031391
32, 0.162344, 0.059756
64, 0.387808, 0.118407
128, 0.847480, 0.232844
256, 1.747888, 0.481906
512, 3.565265, 1.024374
1024, 7.237352, 2.010101
2048, 14.440858, 4.055299
4096, 29.171067, 8.590739
8192, 58.547242, 17.652706
