N, tiempoSinDesenrollar, tiempoDesenrollado
16, 0.084854, 0.033009
32, 0.163881, 0.059876
64, 0.377802, 0.117539
128, 0.868048, 0.231257
256, 1.805101, 0.453020
512, 3.584024, 0.903244
1024, 7.326376, 1.816882
2048, 14.612118, 3.642321
4096, 29.671826, 7.966758
8192, 58.768417, 16.802282
