N, tiempoSinDesenrollar, tiempoDesenrollado
16, 0.080993, 0.057009
32, 0.162020, 0.083277
64, 0.377602, 0.132774
128, 0.856785, 0.234457
256, 1.784021, 0.430027
512, 3.564938, 0.816086
1024, 7.205972, 1.591530
2048, 14.470438, 3.149466
4096, 29.970620, 7.156374
8192, 59.368759, 14.770461
