N, tiempoSinDesenrollar, tiempoDesenrollado
16, 0.087684, 0.042786
32, 0.161893, 0.090481
64, 0.386224, 0.201486
128, 0.839590, 0.437384
256, 1.752749, 0.900275
512, 3.576502, 1.985326
1024, 7.357797, 3.771173
2048, 14.774903, 7.553173
4096, 29.666043, 15.495187
8192, 59.249791, 30.797369
