N, tiempoSinDesenrollar, tiempoDesenrollado
16, 0.084293, 0.058315
32, 0.163612, 0.086004
64, 0.379126, 0.136685
128, 0.857822, 0.232890
256, 1.784211, 0.435327
512, 3.614116, 0.815806
1024, 7.255950, 1.606492
2048, 14.654757, 3.220151
4096, 29.807027, 8.790639
8192, 58.852768, 14.341241
